k,side,h,n,mean,se,period
1.5,edge,7,220,-0.00090975698818865,0.004122116169106065,validation
1.5,edge,8,220,0.00029575979300435965,0.004193354524410147,validation
1.5,edge,9,220,-0.0003245072119962732,0.004459627557917939,validation
1.5,edge,10,220,-0.0006506195299716139,0.00439237670931421,validation
2.0,long,1,59,0.0003920628875813347,0.004314477000801192,validation
2.0,long,2,59,0.0019058805802013212,0.007899803083533588,validation
2.0,long,3,59,0.0019631204316538486,0.006139958773761775,validation
2.0,long,4,59,0.00226953476095652,0.008815360099655098,validation
2.0,long,5,59,0.004882195184822846,0.00826191166105333,validation
2.0,long,6,59,0.00684876089262162,0.00849251560988635,validation
2.0,long,7,59,0.007479966044569066,0.010652887464810917,validation
2.0,long,8,59,0.010089808243225659,0.010565866297161589,validation
2.0,long,9,59,0.009085504101925625,0.011123288843125067,validation
2.0,long,10,59,0.011507899038289247,0.011236543928912652,validation
2.0,short,1,42,-0.004155960054970331,0.006597813371727305,validation
2.0,short,2,42,-0.01240147122047346,0.00685346735718642,validation
2.0,short,3,42,-0.008385636904816309,0.010609944224029194,validation
2.0,short,4,42,-0.005634862308786422,0.00727891458681935,validation
2.0,short,5,42,0.003569964261381104,0.005335589382730148,validation
2.0,short,6,42,0.005331483150882753,0.009041677271345923,validation
2.0,short,7,42,0.0002742198862289857,0.009842955351949883,validation
2.0,short,8,42,-0.005536238066088505,0.010978042951026237,validation
2.0,short,9,42,-0.007914136340528512,0.011947051863260259,validation
2.0,short,10,42,-0.0009680670131889115,0.010049123900309799,validation
2.0,edge,1,101,0.0019572478482777493,0.003709871092263403,validation
2.0,edge,2,101,0.006270383618730328,0.0054240152917723,validation
2.0,edge,3,101,0.004633869856137248,0.005662674733544811,validation
2.0,edge,4,101,0.0036689778996580645,0.00594895349517126,validation
2.0,edge,5,101,0.0013674358111538767,0.005306062672586623,validation
2.0,edge,6,101,0.0017837089141346531,0.006223725247559551,validation
2.0,edge,7,101,0.004255453083247106,0.007423880011885309,validation
